BenchmarkTest01449,SECCU,COOKIE_USAGE,"['80', '81', '102', '103']","['if (cookieName.equals(cookie.getName())) {', 'if (cookie.getValue().equals(request.getSession().getAttribute(cookieName))) {', 'user + "" has been remembered with cookie: "" + rememberMe.getName()', '+ "" whose value is: "" + rememberMe.getValue() + ""<br/>""']"
BenchmarkTest01910,SECPR,PREDICTABLE_RANDOM,['53'],['double value = java.lang.Math.random();']
BenchmarkTest00577,SECCU,COOKIE_USAGE,"['91', '92', '113', '114']","['if (cookieName.equals(cookie.getName())) {', 'if (cookie.getValue().equals(request.getSession().getAttribute(cookieName))) {', 'user + "" has been remembered with cookie: "" + rememberMe.getName()', '+ "" whose value is: "" + rememberMe.getValue() + ""<br/>""']"
BenchmarkTest00958,SECHOC,HTTPONLY_COOKIE,['36'],"['javax.servlet.http.Cookie userCookie = new javax.servlet.http.Cookie(""BenchmarkTest00958"", ""FileName"");']"
BenchmarkTest00124,SECSH,SERVLET_HEADER,"['44', '45']","['if (request.getHeader(""BenchmarkTest00124"") != null) {', 'param = request.getHeader(""BenchmarkTest00124"");']"
BenchmarkTest00507,SECXSS2,XSS_SERVLET,"['92', '93', '94']","['response.getWriter().println(', 'user + "" has been remembered with cookie: "" + rememberMe.getName()', '+ "" whose value is: "" + rememberMe.getValue() + ""<br/>""']"
BenchmarkTest02196,SECXSS2,XSS_SERVLET,"['71', '73', '74']","['response.getWriter().println(', '+ "" Record found with name "" + attr.get() + ""<br>""', '+ ""Address: "" + attr2.get()+ ""<br>""']"
BenchmarkTest01380,SECSQLIJDBC,SQL_INJECTION_JDBC,"['57', '43', '46', '51', '53']","['java.util.Map<String,String[]> map = request.getParameterMap();', 'String[] values = map.get(""BenchmarkTest01380"");', 'String bar = new Test().doSomething(request, param);', 'String sql = ""{call "" + bar + ""}"";', 'java.sql.CallableStatement statement = connection.prepareCall( sql, java.sql.ResultSet.TYPE_FORWARD_ONLY,']"
BenchmarkTest01313,SECSQLIJDBC,SQL_INJECTION_JDBC,"['52', '43', '46', '48']","['String param = request.getParameter(""BenchmarkTest01313"");', 'String bar = new Test().doSomething(request, param);', 'String sql = ""INSERT INTO users (username, password) VALUES (\'foo\',\'""+ bar + ""\')"";', 'int count = statement.executeUpdate( sql );']"
BenchmarkTest01046,SECXSS2,XSS_SERVLET,"['57', '45', '49', '51']","['param = request.getHeader(""Referer"");', 'param = java.net.URLDecoder.decode(param, ""UTF-8"");', 'String bar = new Test().doSomething(request, param);', 'out.format(java.util.Locale.US,""Formatted like: %1$s and %2$s."",obj);']"
BenchmarkTest01798,SECCU,COOKIE_USAGE,"['64', '65', '85', '86']","['if (cookieName.equals(cookie.getName())) {', 'if (cookie.getValue().equals(request.getSession().getAttribute(cookieName))) {', 'user + "" has been remembered with cookie: "" + rememberMe.getName()', '+ "" whose value is: "" + rememberMe.getValue() + ""<br/>""']"
BenchmarkTest02019,STAIV,STATIC_IV,['70'],['java.security.spec.AlgorithmParameterSpec paramSpec = new javax.crypto.spec.IvParameterSpec(iv);']
BenchmarkTest01406,SECPTI,PATH_TRAVERSAL_IN,"['67', '45', '47', '60', '66']","['java.util.Enumeration<String> names = request.getParameterNames();', 'String name = (String) names.nextElement();', 'String bar = new Test().doSomething(request, param);', 'fileName = org.owasp.benchmark.helpers.Utils.testfileDir + bar;', 'fis = new java.io.FileInputStream(fileName);']"
BenchmarkTest02524,SECTBV,TRUST_BOUNDARY_VIOLATION,"['52', '43', '49']","['String[] values = request.getParameterValues(""BenchmarkTest02524"");', 'String bar = doSomething(request, param);', 'request.getSession().putValue( ""userid"", bar);']"
BenchmarkTest00692,SECPTI,PATH_TRAVERSAL_IN,['88'],['java.io.File fileTarget = new java.io.File(']
BenchmarkTest00445,SECSP,SERVLET_PARAMETER,['43'],"['java.util.Map<String,String[]> map = request.getParameterMap();']"
BenchmarkTest01410,SECSP,SERVLET_PARAMETER,"['45', '48']","['java.util.Enumeration<String> names = request.getParameterNames();', 'String[] values = request.getParameterValues(name);']"
BenchmarkTest00974,SECPR,PREDICTABLE_RANDOM,['63'],['int randNumber = new java.util.Random().nextInt(99);']
BenchmarkTest02445,SECHOC,HTTPONLY_COOKIE,['78'],"['javax.servlet.http.Cookie rememberMe = new javax.servlet.http.Cookie(cookieName, rememberMeKey);']"
BenchmarkTest00062,SECHOC,HTTPONLY_COOKIE,['36'],"['javax.servlet.http.Cookie userCookie = new javax.servlet.http.Cookie(""BenchmarkTest00062"", ""FileName"");']"
BenchmarkTest02161,SECCU,COOKIE_USAGE,"['64', '65', '85', '86']","['if (cookieName.equals(cookie.getName())) {', 'if (cookie.getValue().equals(request.getSession().getAttribute(cookieName))) {', 'user + "" has been remembered with cookie: "" + rememberMe.getName()', '+ "" whose value is: "" + rememberMe.getValue() + ""<br/>""']"
BenchmarkTest02192,SECSP,SERVLET_PARAMETER,['43'],"['java.util.Map<String,String[]> map = request.getParameterMap();']"
BenchmarkTest01477,SECSP,SERVLET_PARAMETER,"['45', '48']","['java.util.Enumeration<String> names = request.getParameterNames();', 'String[] values = request.getParameterValues(name);']"
BenchmarkTest00336,SECSQLISPRJDBC,SQL_INJECTION_SPRING_JDBC,"['65', '44', '47', '51', '63']","['java.util.Enumeration<String> headers = request.getHeaders(""BenchmarkTest00336"");', 'param = headers.nextElement(); // just grab first element', 'param = java.net.URLDecoder.decode(param, ""UTF-8"");', 'String sql = ""SELECT TOP 1 userid from USERS where USERNAME=\'foo\' and PASSWORD=\'"" + bar + ""\'"";', 'Long results = org.owasp.benchmark.helpers.DatabaseHelper.JDBCtemplate.queryForLong(sql);']"
BenchmarkTest00563,SECSP,SERVLET_PARAMETER,"['45', '48']","['java.util.Enumeration<String> names = request.getParameterNames();', 'String[] values = request.getParameterValues(name);']"
BenchmarkTest02419,SECCU,COOKIE_USAGE,"['64', '65', '85', '86']","['if (cookieName.equals(cookie.getName())) {', 'if (cookie.getValue().equals(request.getSession().getAttribute(cookieName))) {', 'user + "" has been remembered with cookie: "" + rememberMe.getName()', '+ "" whose value is: "" + rememberMe.getValue() + ""<br/>""']"
BenchmarkTest01698,SECSSQ,SERVLET_QUERY_STRING,['43'],['String queryString = request.getQueryString();']
BenchmarkTest01581,SECPTI,PATH_TRAVERSAL_IN,['73'],['java.io.File fileTarget = new java.io.File(']
BenchmarkTest02143,SECHOC,HTTPONLY_COOKIE,['63'],"['javax.servlet.http.Cookie cookie = new javax.servlet.http.Cookie(""SomeCookie"", str);']"
BenchmarkTest02225,SECSP,SERVLET_PARAMETER,['43'],"['java.util.Map<String,String[]> map = request.getParameterMap();']"
BenchmarkTest01895,CIPINT,CIPHER_INTEGRITY,['64'],"['javax.crypto.Cipher c = javax.crypto.Cipher.getInstance(""DES/CBC/PKCS5Padding"", ""SunJCE"");']"
BenchmarkTest01186,SECHRS,HTTP_RESPONSE_SPLITTING,"['70', '44', '47', '51']","['java.util.Enumeration<String> headers = request.getHeaders(""BenchmarkTest01186"");', 'param = headers.nextElement(); // just grab first element', 'param = java.net.URLDecoder.decode(param, ""UTF-8"");', 'javax.servlet.http.Cookie cookie = new javax.servlet.http.Cookie(""SomeCookie"", str);']"
BenchmarkTest01626,SECSP,SERVLET_PARAMETER,['43'],"['String[] values = request.getParameterValues(""BenchmarkTest01626"");']"
BenchmarkTest02099,SECSQLIJDBC,SQL_INJECTION_JDBC,"['59', '53', '55']","['String bar = doSomething(request, param);', 'String sql = ""INSERT INTO users (username, password) VALUES (\'foo\',\'""+ bar + ""\')"";', 'int count = statement.executeUpdate( sql );']"
BenchmarkTest01612,SECHOC,HTTPONLY_COOKIE,['80'],"['javax.servlet.http.Cookie rememberMe = new javax.servlet.http.Cookie(cookieName, rememberMeKey);']"
